"database","table","engine","total_rows","compressed_size_bytes","uncompressed_size_bytes"
"business","http_log_local","MergeTree",7154939175,15020204841879,49076405030780
"business","parse_status_log_local","ReplacingMergeTree",8896908279,848663617681,10747609355558
"business","dns_log_local","MergeTree",7101429594,485880187798,6944088856474
"business","tcp_log_local","MergeTree",10403631207,336541452199,7361918027157
"business","network_security_log_local","MergeTree",322393558,248999834884,3100522784621
"business","ssl_tls_log_local","MergeTree",450151668,212365824105,2892285381887
"business","endpoint_behavior_log_local","MergeTree",1674242156,183557579505,4436656948288
"business","acl_log_local","MergeTree",1509244771,125745514424,1650814347810
"business","icmp_log_local","MergeTree",1527301404,48005471199,1067965663941
"business","http_login_log_local","MergeTree",42817740,12189416146,166207297398
"business","ftp_log_local","MergeTree",478859072,9562347538,329563848753
"business","alert_relation_log_local","ReplacingMergeTree",417089627,7981310473,78482032491
"business","endpoint_security_log_local","MergeTree",32581433,7446447460,188663276896
"business","operation_log_local","MergeTree",88391986,6623127441,98154275393
"business","ztna_access_log_local","MergeTree",16510678,3183339417,63713311695
"business","snmp_log_local","MergeTree",35788980,2069590664,38960287495
"business","asset_log_local","MergeTree",1825793,925105037,10628628788
"business","ftp_login_log_local","MergeTree",27399187,644334911,18672600685
"business","imap_log_local","MergeTree",338281,397945120,1815840079
"business","redis_log_local","MergeTree",13658753,324083326,9525798793
"business","pop3_log_local","MergeTree",1004901,259460643,4359164301
"business","oracle_log_local","MergeTree",9761224,216718340,14568951691
"business","rdp_log_local","MergeTree",6978568,186002118,4495309125
"business","imap_login_log_local","MergeTree",3291837,124678794,2269139657
"business","smtp_login_log_local","MergeTree",1521751,74872476,1035873054
"business","pgsql_login_log_local","MergeTree",142924,65857231,250805924
"business","asset_infer_local","MergeTree",2866640,54774308,377103740
"business","mysql_log_local","MergeTree",1454870,43650369,2490144653
"business","pop3_login_log_local","MergeTree",741126,33275859,517064991
"business","pgsql_cmd_log_local","MergeTree",296870,31406794,1356179202
"business","smb_log_local","MergeTree",1217502,20376855,839732274
"business","smtp_log_local","MergeTree",3273,6867689,9566294
"business","ssh_log_local","MergeTree",38731,5877081,42110109
"business","sip_log_local","MergeTree",5685,4193214,5751106
"business","telnet_command_log_local","MergeTree",5604,4149612,7295597
"business","netbios_nbns_log_local","MergeTree",30278,4037214,22864849
"business","mongo_log_local","MergeTree",5689,2760303,10156529
"business","arp_log_local","MergeTree",37190,2251827,17144187
"business","telnet_option_log_local","MergeTree",2592,2050215,1690594
"business","ntlm_log_local","MergeTree",2846,1869368,1982947
"business","datalake_platform_log_local","MergeTree",10564,948707,36997274
"business","datalake_report_log_local","MergeTree",15358,631938,2937136
"business","dce_rpc_log_local","MergeTree",57,161249,49724
"business","dhcp_log_local","MergeTree",14,59317,14411
"business","onvif_log_local","MergeTree",11,56015,21172
"business","weak_log_local","MergeTree",19,28606,28475
"business","kerberos_log_local","MergeTree",65,23111,46222
"business","acl_log","Distributed",0,0,0
"business","alert_relation_log","Distributed",0,0,0
"business","arp_log","Distributed",0,0,0
"business","asset_impersonation_security_log","Distributed",0,0,0
"business","asset_impersonation_security_log_local","MergeTree",0,0,0
"business","asset_infer","Distributed",0,0,0
"business","asset_log","Distributed",0,0,0
"business","das_log","Distributed",0,0,0
"business","das_log_local","MergeTree",0,0,0
"business","datalake_platform_log","Distributed",0,0,0
"business","datalake_report_log","Distributed",0,0,0
"business","db2_log","Distributed",0,0,0
"business","db2_log_local","MergeTree",0,0,0
"business","dce_rpc_log","Distributed",0,0,0
"business","dhcp_log","Distributed",0,0,0
"business","dist_disks","Distributed",0,0,0
"business","dns_log","Distributed",0,0,0
"business","dsp_http_log","Distributed",0,0,0
"business","dsp_http_log_local","MergeTree",0,0,0
"business","dynamic_graph_log","Distributed",0,0,0
"business","dynamic_graph_log_local","MergeTree",0,0,0
"business","eml_log","Distributed",0,0,0
"business","eml_log_local","MergeTree",0,0,0
"business","endpoint_behavior_log","Distributed",0,0,0
"business","endpoint_security_log","Distributed",0,0,0
"business","endpoint_telemetry_security_log","Distributed",0,0,0
"business","endpoint_telemetry_security_log_local","MergeTree",0,0,0
"business","file_log","Distributed",0,0,0
"business","file_log_local","MergeTree",0,0,0
"business","ftp_log","Distributed",0,0,0
"business","ftp_login_log","Distributed",0,0,0
"business","http_log","Distributed",0,0,0
"business","http_login_log","Distributed",0,0,0
"business","icmp_log","Distributed",0,0,0
"business","imap_log","Distributed",0,0,0
"business","imap_login_log","Distributed",0,0,0
"business","ioa_log","Distributed",0,0,0
"business","ioa_log_local","MergeTree",0,0,0
"business","iot_device_audit_log","Distributed",0,0,0
"business","iot_device_audit_log_local","MergeTree",0,0,0
"business","kerberos_log","Distributed",0,0,0
"business","ldap_log","Distributed",0,0,0
"business","ldap_log_local","MergeTree",0,0,0
"business","mongo_log","Distributed",0,0,0
"business","mysql_log","Distributed",0,0,0
"business","nat_config_log","Distributed",0,0,0
"business","nat_config_log_local","MergeTree",0,0,0
"business","nat_session_log","Distributed",0,0,0
"business","nat_session_log_local","MergeTree",0,0,0
"business","netbios_nbns_log","Distributed",0,0,0
"business","netflow_log","Distributed",0,0,0
"business","netflow_log_local","MergeTree",0,0,0
"business","network_security_log","Distributed",0,0,0
"business","nfs_log","Distributed",0,0,0
"business","nfs_log_local","MergeTree",0,0,0
"business","ntlm_log","Distributed",0,0,0
"business","onvif_log","Distributed",0,0,0
"business","operation_log","Distributed",0,0,0
"business","oracle_log","Distributed",0,0,0
"business","other_log","Distributed",0,0,0
"business","other_log_local","MergeTree",0,0,0
"business","parse_status_log","Distributed",0,0,0
"business","pgsql_cmd_log","Distributed",0,0,0
"business","pgsql_login_log","Distributed",0,0,0
"business","pop3_log","Distributed",0,0,0
"business","pop3_login_log","Distributed",0,0,0
"business","raw_log","Distributed",0,0,0
"business","raw_log_local","ReplacingMergeTree",0,0,0
"business","rdp_log","Distributed",0,0,0
"business","redis_log","Distributed",0,0,0
"business","report_audit_log","Distributed",0,0,0
"business","report_audit_log_local","MergeTree",0,0,0
"business","sas_log","Distributed",0,0,0
"business","sas_log_local","MergeTree",0,0,0
"business","sdp_log","Distributed",0,0,0
"business","sdp_log_local","MergeTree",0,0,0
"business","sip_log","Distributed",0,0,0
"business","smb_log","Distributed",0,0,0
"business","smtp_log","Distributed",0,0,0
"business","smtp_login_log","Distributed",0,0,0
"business","snmp_log","Distributed",0,0,0
"business","socks_log","Distributed",0,0,0
"business","socks_log_local","MergeTree",0,0,0
"business","sql_server_log","Distributed",0,0,0
"business","sql_server_log_local","MergeTree",0,0,0
"business","ssh_log","Distributed",0,0,0
"business","ssl_tls_log","Distributed",0,0,0
"business","sybase_log","Distributed",0,0,0
"business","sybase_log_local","MergeTree",0,0,0
"business","tcp_log","Distributed",0,0,0
"business","telnet_command_log","Distributed",0,0,0
"business","telnet_login_log","Distributed",0,0,0
"business","telnet_login_log_local","MergeTree",0,0,0
"business","telnet_option_log","Distributed",0,0,0
"business","udp_log","Distributed",0,0,0
"business","udp_log_local","MergeTree",0,0,0
"business","universal_thirdparty_log","Distributed",0,0,0
"business","universal_thirdparty_log_local","MergeTree",0,0,0
"business","vpn_log","Distributed",0,0,0
"business","vpn_log_local","MergeTree",0,0,0
"business","vsphere_log","Distributed",0,0,0
"business","vsphere_log_local","MergeTree",0,0,0
"business","weak_log","Distributed",0,0,0
"business","webmail_log","Distributed",0,0,0
"business","webmail_log_local","MergeTree",0,0,0
"business","webmail_login_log","Distributed",0,0,0
"business","webmail_login_log_local","MergeTree",0,0,0
"business","ztna_access_log","Distributed",0,0,0
"business","ztna_user_log","Distributed",0,0,0
"business","ztna_user_log_local","MergeTree",0,0,0
"business","ztna_user_security_log","Distributed",0,0,0
"business","ztna_user_security_log_local","MergeTree",0,0,0
"dspm","data_security_log","Distributed",0,0,0
"dspm","data_security_log_backend","Distributed",0,0,0
"dspm","data_security_log_backend_local","MergeTree",0,0,0
"dspm","data_security_log_local","MergeTree",0,0,0
"dspm","http_log_statistics_by_day","Distributed",0,0,0
"dspm","http_log_statistics_by_day_local","AggregatingMergeTree",0,0,0
"dspm","http_log_statistics_by_day_mv","MaterializedView",0,0,0
"dspm","label_count_by_day","Distributed",0,0,0
"dspm","label_count_by_day_local","AggregatingMergeTree",0,0,0
"dspm","label_count_by_day_mv","MaterializedView",0,0,0
"log_checker","logcheck_ability_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_ability_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_ability_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_ability_log_distributed","Distributed",0,0,0
"log_checker","logcheck_analyze_audit_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_analyze_audit_log_distributed","Distributed",0,0,0
"log_checker","logcheck_analyze_security_log","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_analyze_security_log_distributed","Distributed",0,0,0
"log_checker","logcheck_business_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_business_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_business_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_business_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_audit_collect","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_audit_collect_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_audit_ingest","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_audit_ingest_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_collect","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_collect_distributed","Distributed",0,0,0
"log_checker","logcheck_datalake_ingest","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_datalake_ingest_distributed","Distributed",0,0,0
"log_checker","logcheck_enaane_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_enaane_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_enaane_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_enaane_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_mss_alert","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_mss_alert_distributed","Distributed",0,0,0
"log_checker","logcheck_mss_incident","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_mss_incident_distributed","Distributed",0,0,0
"log_checker","logcheck_result_5min","ReplicatedMergeTree",0,0,0
"log_checker","logcheck_result_5min_distributed","Distributed",0,0,0
"metric",".inner_id.f0182d02-2d07-49f3-bcd4-31e665724936","ReplacingMergeTree",0,0,0
"metric","dev_report_status","Distributed",0,0,0
"metric","dev_report_status_local","MaterializedView",0,0,0
